DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 900 -c 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Mon Oct  5 23:04:38 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513e070._getpgpkey.example.com CERT 0.001878
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d9359._getpgpkey.example.com CERT 0.001952
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513221c._getpgpkey.example.com CERT 0.001915
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695126431._getpgpkey.example.com CERT 0.001906
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695171024._getpgpkey.example.com CERT 0.001909
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951626ea._getpgpkey.example.com CERT 0.002011
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951baf51._getpgpkey.example.com CERT 0.001994
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469513cb3a._getpgpkey.example.com CERT 0.002155
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469510df05._getpgpkey.example.com CERT 0.002055
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519a69d._getpgpkey.example.com CERT 0.002251
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f2b94._getpgpkey.example.com CERT 0.002232
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ad1f3._getpgpkey.example.com CERT 0.002266
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ac7c5._getpgpkey.example.com CERT 0.002414
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951c48a5._getpgpkey.example.com CERT 0.002500
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951feece._getpgpkey.example.com CERT 0.002498
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695153a07._getpgpkey.example.com CERT 0.002525
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e443f._getpgpkey.example.com CERT 0.002943
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951cf941._getpgpkey.example.com CERT 0.003417
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516fced._getpgpkey.example.com CERT 0.003494
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518db99._getpgpkey.example.com CERT 0.003582
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517f7f2._getpgpkey.example.com CERT 0.003482
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518f8d1._getpgpkey.example.com CERT 0.003533
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951b7486._getpgpkey.example.com CERT 0.003528
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695189946._getpgpkey.example.com CERT 0.003961
