DNS Performance Testing Tool
Nominum Version 2.0.0.0

[Status] Command line: dnsperf -s 192.168.1.253 -d ../test/test_1001 -n 1 -Q 100 -vD
[Status] Sending queries (to 192.168.1.253)
[Status] Started at: Wed Sep 30 22:27:49 2015
[Status] Stopping after 1 run through file
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d8ecf._getpgpkey.example.com CERT 0.000318
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e4539._getpgpkey.example.com CERT 0.000321
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951ec5e0._getpgpkey.example.com CERT 0.000333
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695190fe5._getpgpkey.example.com CERT 0.000318
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469519a9d3._getpgpkey.example.com CERT 0.000316
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469516814c._getpgpkey.example.com CERT 0.000327
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951f64db._getpgpkey.example.com CERT 0.000335
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469517ddb2._getpgpkey.example.com CERT 0.000398
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469518f350._getpgpkey.example.com CERT 0.000329
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fd87b._getpgpkey.example.com CERT 0.000383
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951bc6b5._getpgpkey.example.com CERT 0.001830
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951fc44b._getpgpkey.example.com CERT 0.000352
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af469511da36._getpgpkey.example.com CERT 0.000342
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695148b7f._getpgpkey.example.com CERT 0.000350
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951e79e9._getpgpkey.example.com CERT 0.000312
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951996b7._getpgpkey.example.com CERT 0.000319
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af46951d9a16._getpgpkey.example.com CERT 0.002350
> NOERROR 80e179ad8a515536ed683d8082906924735c6f625878af4695186eee._getpgpkey.example.com CERT 0.000403
